NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Familienstand;Haushaltsgröße;Haushaltsnettoeinkommen;Höchster Bildungsabschluss;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. <p>Würdest du sagen, dass du generell glücklich bist?</p> (in ?);2. <p>Haben sich deine seelischen Belastungen in den letzten Jahren (z.B. durch Corona, Quarantäne und Isolation) eher verschlimmert oder verbessert?</p> (in ?);3. <p>Redest du mit anderen über deine seelischen Belastungen?</p>;"4. <p>Wie sehr stimmst du der folgenden Aussage zu: ""Reden hilft dabei, seelische Belastungen zu reduzieren""?</p> (in ?)";5. <p>Kannst du dir vorstellen, Hilfsangebote für seelische Belastungen (Therapie, Beratung) wahrzunehmen?</p>;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Therapie;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Coaching;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Beratung (z.B. psychologische Hilfe);6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Telefonische Beratung (z.B. Telefonseelsorge, Nummer gegen Kummer);6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Online-Beratung;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Krisenanlaufstellen;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Selbsthilfegruppen;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Freunde und Familie;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Tagebuch;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:Ärztin oder Arzt;6. <p>Welche Hilfsangebote für seelische Belastungen hast du bereits in Anspruch genommen?</p>:freetext;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:Ich habe mich bisher nicht getraut;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:Ich weiß nicht, wo ich mich informieren soll;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:Ich erhalte keinen Platz, der von der gesetzlichen Krankenkasse übernommen wird;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:Ich kann mir private Hilfsangebote nicht leisten;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:Ich halte meine seelischen Belastungen für nicht stark genug;7. <p>Warum hast du bisher keine Hilfsangebote für seelische Belastungen (Psychotherapie, Beratungen) wahrgenommen?</p>:freetext;8. <p>Wie leicht fällt es dir, über deine eigene seelische Belastung mit anderen zu sprechen?</p> (in ?);9. <p>Inwiefern stimmst du den folgenden Aussage zu: </p>:“Meine Eltern oder Sorgeberechtigten haben in meiner Kindheit/Jugend mit mir über seelische Belastungen gesprochen”?;9. <p>Inwiefern stimmst du den folgenden Aussage zu: </p>:“Meine Freunde und Freundinnen haben in meiner Kindheit/Jugend mit mir über seelische Belastungen gesprochen”?;9. <p>Inwiefern stimmst du den folgenden Aussage zu: </p>:“Ich würde mir wünschen, dass in meiner Familie offener mit seelischen Belastungen umgegangen wird.”;9. <p>Inwiefern stimmst du den folgenden Aussage zu: </p>:“Ich würde mir wünschen, dass in meiner Partnerschaft offener mit seelischen Belastungen umgegangen wird.”;9. <p>Inwiefern stimmst du den folgenden Aussage zu: </p>:“Ich würde mir wünschen, dass in der Gesellschaft offener mit seelischen Belastungen umgegangen wird.”;10. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;11. <p>Könntest du dir vorstellen, ein Mental Health Angebot (Hilfe für seelische Belastung) im Internet zu nutzen?</p> (in ?);12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Niemanden;12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Nur meinen engsten Vertrauten, z.B. Partner/Partnerin;12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Meinem engeren Umfeld (Familie, Freunde);12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Meinem beruflichen Umfeld (Vorgesetzte, Kollegen/Kolleginnen);12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Ich würde es reaktiv erzählen, wenn mich jemand fragt oder es sich ergibt;12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Ich würde es aktiv kommunizieren, damit Menschen in meinem Umfeld Bescheid wissen;12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:Ich würde es öffentlich machen (z.B. soziale Medien), um anderen ein Vorbild zu sein;12. <p>Wem hast du oder würdest du es kommunizieren, wenn du ein Hilfsangebot für seelische Belastungen, wie eine Psychotherapie, wahrnehmen würdest?</p>:freetext;13. <p>Wie würdest du es bewerten, wenn dir eine Person erzählt, dass sie ein Hilfsangebot für seelische Belastung in Anspruch nimmt?</p> (in ?);14. <p>Was wäre für dich negativ daran?</p>:Ich möchte es nicht wissen/ es interessiert mich nicht;14. <p>Was wäre für dich negativ daran?</p>:Ich würde die Person anders wahrnehmen als zuvor;14. <p>Was wäre für dich negativ daran?</p>:Ich würde es als unangenehm empfinden;14. <p>Was wäre für dich negativ daran?</p>:Die Person zeigt damit Schwäche;14. <p>Was wäre für dich negativ daran?</p>:freetext;15. <p>Was wäre für dich positiv daran?</p>:Dass die Person sich ihren Gefühlen/Ängsten stellt;15. <p>Was wäre für dich positiv daran?</p>:Dass die Person wahrscheinlich reflektierter dadurch ist;15. <p>Was wäre für dich positiv daran?</p>:Dass die Person mutig ist, öffentlich darüber zu sprechen;15. <p>Was wäre für dich positiv daran?</p>:Dass die Person sich aktiv Hilfe sucht;15. <p>Was wäre für dich positiv daran?</p>:Die Person zeigt damit Stärke;15. <p>Was wäre für dich positiv daran?</p>:freetext;16. <p>Wie fühlst du dich dabei, anderen Menschen von dem Hilfsangebot, z.B. Psychotherapie oder deinen Therapieplänen, zu erzählen?</p>:Ich bin stolz darauf;16. <p>Wie fühlst du dich dabei, anderen Menschen von dem Hilfsangebot, z.B. Psychotherapie oder deinen Therapieplänen, zu erzählen?</p>:Ich schäme mich dafür;16. <p>Wie fühlst du dich dabei, anderen Menschen von dem Hilfsangebot, z.B. Psychotherapie oder deinen Therapieplänen, zu erzählen?</p>:Ich bin unsicher, wie anderen Menschen darauf reagieren;16. <p>Wie fühlst du dich dabei, anderen Menschen von dem Hilfsangebot, z.B. Psychotherapie oder deinen Therapieplänen, zu erzählen?</p>:freetext;"17. <p>Dies ist eine Kontrollfrage. Bitte gib ""Sonnenblume"" ein</p>"
1;m;50;2;Nordrhein-Westfalen;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Ledig / Single;1 Person;Einkommen Kategorie 2;Höhere Sekundarstufe;Witten;0;58455;DEU;Android;93;2023-09-29 14:35:50;4;5;Ja, ab und zu;5;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;6;Fast immer;4;0;0;0;0;1;1;0;0;6;-;-;-;-;-;0;1;0;0;0;0;1;0;0;0;Sonnenblume
2;f;23;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung;Keine Kinder (<18) im Haushalt;In fester Partnerschaft;3 Personen;Einkommen Kategorie 5;Höhere Sekundarstufe;Coswig;0;01640;DEU;iOS;114;2023-09-29 14:33:33;4;3;Ja, oft;6;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;6;6;5;6;Fast immer;3;0;0;1;1;1;0;0;0;6;-;-;-;-;-;1;1;1;1;1;0;1;0;0;0;Sonnenblume
3;f;54;3b;Baden-Wuerttemberg;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;2 Personen;Einkommen Kategorie 7;Postsekundäre nicht-tertiäre Ausbildung;Heidelberg;1;69124;DEU;Android;85;2023-09-29 14:34:09;2;1;Ja, ab und zu;5;Ja und nehme ich bereits in Anspruch/ habe es in Anspruch genommen;1;0;1;0;0;0;0;1;1;1;0;-;-;-;-;-;-;4;1;2;6;5;6;Fast immer;3;0;1;0;0;0;0;0;0;5;-;-;-;-;-;1;0;1;0;1;0;1;0;0;0;Sonnenblume
4;m;32;2;Nordrhein-Westfalen;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Ledig / Single;2 Personen;Einkommen Kategorie 8 (höchste);Höhere Sekundarstufe;Barntrup;0;32683;DEU;Android;73;2023-10-04 13:57:22;3;3;Nein, nie;3;Nein, kann ich mir nicht vorstellen;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;nicht notwendig;4;1;1;1;1;1;Fast immer;1;-;-;-;-;-;-;-;-;4;-;-;-;-;-;0;0;0;0;0;nix;-;-;-;-;sonnenblume
5;f;18;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung;Min. ein Kind (<18) im Haushalt;In fester Partnerschaft;4 Personen;Einkommen Kategorie 2;Untere Sekundarstufe;Duisburg;1;47179;DEU;iOS;64;2023-10-02 07:26:07;3;4;Ja, ab und zu;5;Ja und nehme ich bereits in Anspruch/ habe es in Anspruch genommen;0;1;0;0;1;0;0;0;0;0;0;-;-;-;-;-;-;5;3;3;3;4;4;Fast immer;3;0;1;1;0;0;0;0;0;5;-;-;-;-;-;0;0;0;1;0;0;0;1;0;0;Sonnenblume
6;m;35;3b;Baden-Wuerttemberg;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;2 Personen;Einkommen Kategorie 6;Bachelor oder ähnlicher Abschluss;Loerrach;0;79541;DEU;iOS;69;2023-09-29 14:57:41;4;4;Ja, oft;5;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;4;4;5;6;Fast immer;3;0;1;1;0;0;1;0;0;5;-;-;-;-;-;0;1;0;1;0;0;0;1;0;0;Sonnenblume
7;f;33;1;Schleswig-Holstein;Erwerbstätig (Angestellt / Selbstständig);Min. ein Kind (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;4 Personen;Einkommen Kategorie 4;Untere Sekundarstufe;Neufeld;0;25724;DEU;iOS;75;2023-09-29 14:51:11;3;4;Ja, ab und zu;6;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;6;5;3;3;Fast immer;3;0;0;1;0;0;1;0;0;5;-;-;-;-;-;0;0;1;0;0;0;0;0;1;0;Sonnenblume
8;m;55;4;Bayern;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Ledig / Single;1 Person;Einkommen Kategorie 3;Höhere Sekundarstufe;Neustadt an der Aisch;0;91413;DEU;Android;131;2023-09-29 14:48:41;3;3;Ja, ab und zu;6;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;6;Fast immer;4;0;0;1;1;0;0;0;0;6;-;-;-;-;-;1;0;0;1;1;0;1;0;0;0;Sonnenblume
9;f;43;3a;Rheinland-Pfalz;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Ledig / Single;1 Person;Einkommen Kategorie 2;Postsekundäre nicht-tertiäre Ausbildung;Waldorf;0;53498;DEU;Android;166;2023-09-29 14:38:41;3;3;Ja, oft;6;Ja und nehme ich bereits in Anspruch/ habe es in Anspruch genommen;1;0;0;0;0;0;0;1;1;1;0;-;-;-;-;-;-;3;3;5;3;3;6;Fast immer;2;0;1;1;0;1;0;0;0;6;-;-;-;-;-;1;0;1;1;1;0;0;0;1;0;Sonnenblume
10;f;48;3b;Baden-Wuerttemberg;Erwerbstätig (Angestellt / Selbstständig);Min. ein Kind (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;2 Personen;Einkommen Kategorie 2;Untere Sekundarstufe;Winterlingen;0;72474;DEU;iOS;141;2023-09-29 15:44:37;3;3;Ja, aber nur selten;4;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;4;4;5;Fast immer;3;1;0;0;0;0;0;0;0;6;-;-;-;-;-;1;0;1;0;0;0;0;0;1;0;Sonnenblume
11;f;57;7;Sachsen;Erwerbstätig (Angestellt / Selbstständig);Keine Kinder (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;4 Personen;Einkommen Kategorie 4;Postsekundäre nicht-tertiäre Ausbildung;Dresden;0;01129;DEU;Android;187;2023-09-29 14:36:16;4;3;Ja, oft;6;Ja, aber nehme noch keine in Anspruch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;4;3;5;Fast immer;2;0;1;1;1;1;1;0;0;6;-;-;-;-;-;1;1;1;1;1;wir sind doch Menschen und keine Maschinen;0;0;0;das ist doch was Normales;Sonnenblume
12;m;59;3a;Hessen;Erwerbstätig (Angestellt / Selbstständig);Min. ein Kind (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;Mehr als 4 Personen;Einkommen Kategorie 6;Höhere Sekundarstufe;Frielendorf;0;34621;DEU;Android;216;2023-09-29 16:32:48;4;5;Ja, ab und zu;5;Ja und nehme ich bereits in Anspruch/ habe es in Anspruch genommen;1;1;1;1;1;1;1;1;0;1;0;-;-;-;-;-;-;6;4;5;6;6;5;Fast immer;4;0;1;1;1;1;1;0;0;5;-;-;-;-;-;1;0;1;0;0;0;1;0;0;0;Sonnenblume
13;m;34;3a;Rheinland-Pfalz;Erwerbstätig (Angestellt / Selbstständig);Min. ein Kind (<18) im Haushalt;Verheiratet / in eingetragener Partnerschaft;4 Personen;Einkommen Kategorie 6;Postsekundäre nicht-tertiäre Ausbildung;Lambsheim;0;67245;DEU;Android;115;2023-10-02 07:28:14;4;4;Ja, ab und zu;6;Ja und nehme ich bereits in Anspruch/ habe es in Anspruch genommen;1;1;1;0;1;0;0;1;1;1;0;-;-;-;-;-;-;4;4;6;5;6;5;Fast immer;4;0;1;1;0;0;0;0;0;6;-;-;-;-;-;1;0;1;1;1;0;0;0;1;0;Sonnenblume
